Vid1,Vid2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,START_key.keys,START_key.rt,START_key.started,START_key.stopped,visual_key.keys,visual_key.rt,sem_key.keys,sem_key.rt,pass_loop.keys,end_resp.keys,end_resp.rt,end_resp.started,end_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate
Sign_Stimuli/Stim1VCM.mp4,Sign_Stimuli/Stim3SCF.mp4,0,44,44,44,,,,,['1'],[0.8615608710097149],['1'],[0.5258885249932064],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim2M.mp4,Sign_Stimuli/Stim1SCM.mp4,0,45,45,45,,,,,['1'],[4.205951577008818],['1'],[0.22692771400033962],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim2VCF.mp4,Sign_Stimuli/Stim2SCF.mp4,0,46,46,46,,,,,['2'],[2.5543503600056283],['1'],[1.9261769730073866],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim2SCF.mp4,Sign_Stimuli/Stim3VCM.mp4,0,47,47,47,,,,,['2'],[6.074842305999482],['1'],[3.9673953570018057],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim2VCM.mp4,Sign_Stimuli/Stim2M.mp4,0,48,48,48,,,,,['7'],[30.174854932003655],['7'],[0.45711658099025954],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim3SCF.mp4,Sign_Stimuli/Stim3F.mp4,0,49,49,49,,,,,['1'],[5.113121272996068],['1'],[1.6976186579995556],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim1VCF.mp4,Sign_Stimuli/Stim3VCF.mp4,0,50,50,50,,,,,['2'],[2.601913405000232],['1'],[1.100293048992171],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim3VCM.mp4,Sign_Stimuli/Stim1VCF.mp4,0,51,51,51,,,,,['2'],[0.8520895739929983],['1'],[0.40348925899888854],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim1SCM.mp4,Sign_Stimuli/Stim2VCM.mp4,0,52,52,52,,,,,['1'],[6.6562274919997435],['1'],[0.3810462830006145],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim2VCF.mp4,Sign_Stimuli/Stim2SCM.mp4,0,53,53,53,,,,,['1'],[2.8496469640085706],['1'],[0.2637671130069066],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim2VCF.mp4,Sign_Stimuli/Stim1M.mp4,0,54,54,54,,,,,['1'],[12.230488082001102],['1'],[0.3139848320133751],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim3F.mp4,Sign_Stimuli/Stim2VCM.mp4,0,55,55,55,,,,,['1'],[9.978686189992004],['1'],[0.2780202680005459],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim2F.mp4,Sign_Stimuli/Stim2M.mp4,0,56,56,56,,,,,['7'],[17.665508318998036],['7'],[0.24119292899558786],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim2VCF.mp4,Sign_Stimuli/Stim1F.mp4,0,57,57,57,,,,,['1'],[9.394463099000859],['1'],[0.3603014560067095],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim1SCM.mp4,Sign_Stimuli/Stim2SCF.mp4,0,58,58,58,,,,,['1'],[26.429496084994753],['1'],[0.29622085399751086],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim1M.mp4,Sign_Stimuli/Stim2M.mp4,0,59,59,59,,,,,['1'],[1.6703985979984282],['1'],[0.29339752199302893],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim1VCM.mp4,Sign_Stimuli/Stim3M.mp4,0,60,60,60,,,,,['1'],[1.3987863460060908],['1'],[0.3549043879902456],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim1F.mp4,Sign_Stimuli/Stim3VCF.mp4,0,61,61,61,,,,,['2'],[4.587929268993321],['1'],[0.4626685660041403],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim2F.mp4,Sign_Stimuli/Stim1M.mp4,0,62,62,62,,,,,['1'],[4.65372542499972],['1'],[0.25705695000942796],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim3F.mp4,Sign_Stimuli/Stim2SCM.mp4,0,63,63,63,,,,,['2'],[9.400328948991955],['1'],[0.4909699909912888],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim2SCM.mp4,Sign_Stimuli/Stim1F.mp4,0,64,64,64,,,,,['3'],[4.029390104988124],['2'],[1.4742517359991325],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim3F.mp4,Sign_Stimuli/Stim2VCF.mp4,0,65,65,65,,,,,['2'],[1.5647279630065896],['1'],[0.3780113579996396],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
Sign_Stimuli/Stim3VCF.mp4,Sign_Stimuli/Stim2M.mp4,0,66,66,66,,,,,['2'],[0.4880751470045652],['1'],[0.32484152499819174],None,,,,,HNS002,1,2022_Nov_16_1627,Rating-signs,2021.2.3,None
